rank,level,target,english,attribution
1,A,Sommes-nous prêts ?,Are we ready?,CC-BY 2.0 (France) Attribution: tatoeba.org #2244927 (CK) & #3951162 (serpico)
14,A,Je peux venir.,I can come.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245638 (CK) & #4679092 (sacredceltic)
27,A,J'ai envie de toi.,I want you.,CC-BY 2.0 (France) Attribution: tatoeba.org #17707 (CK) & #747142 (Cocorico)
40,A,Nous partons demain.,We're leaving tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241097 (CK) & #6813786 (Micsmithel) Editorially corrected after complete row-by-row linguistic audit.
52,A,Est-ce que nous pouvons venir demain ?,Can we come tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #7924190 (AlanF_US) & #7967394 (Aiji)
66,A,Est-ce que tu m'aimes ?,Do you love me?,CC-BY 2.0 (France) Attribution: tatoeba.org #3123307 (CK) & #450947 (franzmimm) Editorially corrected after complete row-by-row linguistic audit.
80,A,Comment le savais-tu ?,How did you know?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885918 (CK) & #2948226 (Wakano)
94,A,Qu'ai-je ?,What do I have?,CC-BY 2.0 (France) Attribution: tatoeba.org #24844 (CM) & #817460 (sacredceltic)
107,A,Quand êtes-vous venus ?,When did you come?,CC-BY 2.0 (France) Attribution: tatoeba.org #1900777 (CK) & #763319 (sacredceltic)
120,A,Voudriez-vous m'excuser ?,Would you excuse me?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886427 (CK) & #2036139 (sacredceltic)
132,A,Je suis sans abri.,I am homeless.,CC-BY 2.0 (France) Attribution: tatoeba.org #1624824 (marcelostockle) & #8624785 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
147,A,"Oui, nous pouvons partir.","Yes, we can go.",CC-BY 2.0 (France) Attribution: tatoeba.org #437862 (CM) & #3646795 (sacredceltic)
160,A,Achetez tout ce que vous voulez.,Buy whatever you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #7849387 (CK) & #11274408 (lbdx)
173,A,Tout est prêt ici.,Everything is ready here.,CC-BY 2.0 (France) Attribution: tatoeba.org #3733363 (CK) & #6914996 (Aiji)
188,A,Voilà ce que je pense.,Here's what I think.,CC-BY 2.0 (France) Attribution: tatoeba.org #4971273 (CK) & #5803769 (Aiji)
203,A,Je peux payer d'avance.,I can pay upfront.,CC-BY 2.0 (France) Attribution: tatoeba.org #3581351 (bluwy) & #3698767 (Elliv)
215,A,Je pourrais le faire.,I could do it.,CC-BY 2.0 (France) Attribution: tatoeba.org #5840511 (CK) & #11733692 (Aiji)
228,A,Je t'avais prévenue.,I had warned you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2314861 (CK) & #4223281 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
241,A,Je ne travaille pas ici.,I don't work here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2020707 (Spamster) & #2020723 (Aiji)
794,A,Si tu te dépêches tu peux encore attraper ton train.,If you hurry,CC-BY 2.0 (France) Attribution: tatoeba.org #476262 (morganlmallory) & #481288 (Goofy) Editorially corrected after complete row-by-row linguistic audit.
56,B,Pourrais-tu me prêter main forte ?,Could you lend me a hand?,CC-BY 2.0 (France) Attribution: tatoeba.org #64405 (CK) & #1844311 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
265,B,Puis-je vous rencontrer demain ?,Can I meet you tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #7347676 (Eccles17) & #7323996 (felix63)
290,B,Est-ce que je t'ai bien compris ?,Did I understand you correctly?,CC-BY 2.0 (France) Attribution: tatoeba.org #3393978 (AlanF_US) & #3217859 (Dreamk33)
313,B,Connais-tu mon nom ?,Do you know my name?,CC-BY 2.0 (France) Attribution: tatoeba.org #1453949 (Spamster) & #1462313 (sacredceltic)
337,B,Veux-tu partir ?,Do you want to go?,CC-BY 2.0 (France) Attribution: tatoeba.org #379143 (robingaspi) & #8591 (sysko)
361,B,Comment pourrions-nous faire ça ?,How could we do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #6108763 (CK) & #7554939 (Aiji)
385,B,De combien de temps disposons-nous ?,How long do we have?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885897 (CK) & #2025107 (sacredceltic)
408,B,J'ai fait ce que tu as demandé.,I did what you asked.,CC-BY 2.0 (France) Attribution: tatoeba.org #2314872 (CK) & #4227789 (sacredceltic)
431,B,Je ne sais absolument pas pourquoi.,I have no idea why.,CC-BY 2.0 (France) Attribution: tatoeba.org #2360144 (CK) & #7839992 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
455,B,Je sais où elle est.,I know where she is.,CC-BY 2.0 (France) Attribution: tatoeba.org #308095 (CK) & #605414 (qdii)
478,B,J'aurai besoin de toi ici demain.,I will need you here tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #5639885 (CK) & #10700146 (Rovo) Editorially corrected after complete row-by-row linguistic audit.
503,B,On peut peut-être vous aider.,Maybe we can help you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3915439 (CK) & #12002926 (lbdx)
526,B,C'est comme ça que nous fonctionnons.,This is how we work.,CC-BY 2.0 (France) Attribution: tatoeba.org #3724480 (CM) & #13338834 (genes1s)
549,B,C'est l'aide dont nous avons besoin.,What we need is help.,CC-BY 2.0 (France) Attribution: tatoeba.org #1159840 (tinytina) & #333444 (TRANG)
574,B,Tu parles comme ta mère.,You speak like your mother.,CC-BY 2.0 (France) Attribution: tatoeba.org #70145 (CK) & #3162994 (Apex)
597,B,"Excusez-moi, votre lacet est défait.","Excuse me, your shoelace is undone.",CC-BY 2.0 (France) Attribution: tatoeba.org #10012987 (sundown) & #1545133 (sysko)
621,B,Je ne comprends pas ce que tu dis.,I cannot understand what you say.,CC-BY 2.0 (France) Attribution: tatoeba.org #321424 (Zifre) & #926869 (bojnin)
644,B,Je ne sais pas ce que tu fais.,I don't know what you're doing.,CC-BY 2.0 (France) Attribution: tatoeba.org #5190370 (CK) & #5406020 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
697,B,Pouvez-vous s'il vous plaît me répéter votre nom ?,Can you please repeat your name?,CC-BY 2.0 (France) Attribution: tatoeba.org #889678 (Scott) & #944854 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
957,B,Je sais que tu n'as pas appris à parler français.,I know you didn't learn to speak French.,CC-BY 2.0 (France) Attribution: tatoeba.org #7240364 (CK) & #7242444 (tras) Editorially corrected after complete row-by-row linguistic audit.
186,C,Nous voici donc de nouveau au même point.,Here we are back at the same point again.,CC-BY 2.0 (France) Attribution: tatoeba.org #2648536 (CK) & #3451160 (Scorpionvenin14) Editorially corrected after complete row-by-row linguistic audit.
681,C,Es-tu sûr de ne pas vouloir venir ce soir ?,Are you sure you don't want to come tonight?,CC-BY 2.0 (France) Attribution: tatoeba.org #2030001 (CK) & #5418932 (Aiji)
696,C,"Pourriez-vous me dire où se trouve le restaurant, s'il vous plaît ?",Could you please tell me where the restaurant is?,CC-BY 2.0 (France) Attribution: tatoeba.org #434422 (lukaszpp) & #496775 (Goofy) Editorially corrected after complete row-by-row linguistic audit.
713,C,"Puis-je avoir encore une canette de bière, s'il vous plaît ?",Can I please have one more can of beer?,CC-BY 2.0 (France) Attribution: tatoeba.org #435802 (CK) & #435903 (gall) Editorially corrected after complete row-by-row linguistic audit.
729,C,Pouvez-vous m'indiquer le chemin jusqu'à la gare ?,Can you tell me the way to the station?,CC-BY 2.0 (France) Attribution: tatoeba.org #26020 (CK) & #9789 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
748,C,"Dois-je ôter mes chaussures, ici ?",Do I have to take off my shoes here?,CC-BY 2.0 (France) Attribution: tatoeba.org #61905 (kebukebu) & #1989185 (sacredceltic)
766,C,"Tout ce que je veux, c'est rentrer chez moi.",All I want to do is get back home.,CC-BY 2.0 (France) Attribution: tatoeba.org #8993275 (CK) & #12467691 (lbdx)
783,C,Ne crie pas comme ça. Je t'entends parfaitement.,Don't shout like that. I can hear you perfectly.,CC-BY 2.0 (France) Attribution: tatoeba.org #41521 (CM) & #12457 (nimfeo)
800,C,Je t'assure que tout sera prêt à temps.,I assure you everything will be ready on time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2258701 (_undertoad) & #13343848 (genes1s)
817,C,Je n'arrive pas à comprendre ce qu'il veut que je fasse.,I can't understand what he wants me to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #260067 (CK) & #10904767 (lbdx)
832,C,Je ne savais pas que tu allais revenir.,I didn't know you were going to come back.,CC-BY 2.0 (France) Attribution: tatoeba.org #6342808 (CK) & #11224427 (lbdx)
847,C,Je ne sais pas combien de temps il nous reste.,I don't know how much time we have left.,CC-BY 2.0 (France) Attribution: tatoeba.org #2897814 (AlanF_US) & #8483169 (Aiji)
862,C,Je ne sais pas quoi faire de ces restes.,I don't know what to do with these leftovers.,CC-BY 2.0 (France) Attribution: tatoeba.org #11595275 (shekitten) & #11715353 (Rovo) Editorially corrected after complete row-by-row linguistic audit.
876,C,Je n'ai pas besoin qu'on me dise quoi faire.,I don't need to be told what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #3619420 (CK) & #7793912 (Aiji)
891,C,Je ne veux pas que mon fils soit comme toi.,I don't want my son to be like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #7494605 (CK) & #7498266 (tras)
906,C,J'ai l'impression que tu n'en as rien à faire de moi.,I feel like you don't care about me at all.,CC-BY 2.0 (France) Attribution: tatoeba.org #5797476 (Hybrid) & #5798141 (Toynop) Editorially corrected after complete row-by-row linguistic audit.
923,C,Je n'ai aucune idée de ce que nous sommes supposés faire.,I have no idea what we're supposed to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #4016262 (CK) & #7785759 (Aiji)
940,C,Je dois rentrer faire mes devoirs.,I have to go home to do my homework.,CC-BY 2.0 (France) Attribution: tatoeba.org #5295450 (Hybrid) & #11792336 (lbdx) Editorially corrected after complete row-by-row linguistic audit.
954,C,Je sais combien vous êtes fier de votre travail.,I know how proud you are of your work.,CC-BY 2.0 (France) Attribution: tatoeba.org #2952319 (CK) & #6474167 (Aiji)
992,C,Je pense qu'il est temps de changer nos façons de gérer les déchets.,I think it is about time we changed our ways of managing waste.,CC-BY 2.0 (France) Attribution: tatoeba.org #247388 (CK) & #8019 (Apex) Editorially corrected after complete row-by-row linguistic audit.
966,D,"Pour obtenir une place, il suffit de faire la queue.",All you have to do to secure a seat is to wait in line.,CC-BY 2.0 (France) Attribution: tatoeba.org #272105 (CK) & #10015540 (Micsmithel)
969,D,"Même si je connais un peu de français, je pense que nous devrions parler anglais.","Even though I know a little French, I think we should speak in English.",CC-BY 2.0 (France) Attribution: tatoeba.org #2451065 (CK) & #5800888 (Aiji)
970,D,"Franchement, je ne pense pas que tu aies ce qu'il faut pour devenir enseignant.","Frankly speaking, I don't think you have what it takes to become a teacher.",CC-BY 2.0 (France) Attribution: tatoeba.org #4574323 (CK) & #7862570 (Aiji)
972,D,"C'est la dernière personne à qui je demanderais de l'aide, car il n'est pas du tout fiable.","He's the last person I would ask for help, because he is completely unreliable.",CC-BY 2.0 (France) Attribution: tatoeba.org #371400 (saeb) & #8703768 (Julien_PDC) Editorially corrected after complete row-by-row linguistic audit.
973,D,"Je ne peux pas vous dire son nom, mais je peux vous dire où il vit.","I can't tell you his name, but I can tell you where he lives.",CC-BY 2.0 (France) Attribution: tatoeba.org #3205210 (CK) & #7797117 (Aiji)
975,D,Je ne peux pas vous dire qui est sur la liste. Mon patron m'a dit de ne pas le dire.,I can't tell you who's on the list. My boss told me not to.,CC-BY 2.0 (France) Attribution: tatoeba.org #1955047 (CK) & #6069359 (Aiji)
976,D,Je me fiche de ce que le docteur dit. Je vais manger ce que je veux.,I don't care what the doctor says. I'm going to eat whatever I want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2315218 (CK) & #7327087 (Aiji)
979,D,Je ne sais pas si c'est important pour vous mais c'est très important pour moi.,"I don't know whether it's important to you, but it's very important to me.",CC-BY 2.0 (France) Attribution: tatoeba.org #2391331 (AlanF_US) & #8688138 (Aiji)
980,D,Je ne pense pas que j'aie envie de répondre à plus de tes questions pour l'instant.,I don't think I want to answer any more of your questions right now.,CC-BY 2.0 (France) Attribution: tatoeba.org #2042857 (CK) & #5419865 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
