rank,front,expected_english,kaikki_entry,kaikki_pos,kaikki_has_english_gloss,semantic_overlap,semantic_overlap_terms,wordfreq_attested,wordfreq_zipf,arabic_wordnet_entry,camel_analysis,lexique4_entry,lexique4_pos,urdu_ud_entry,urdu_ud_pos,support_count,confidence
1,کے,"of; belonging to (genitive, masculine plural/oblique)",True,particle,True,True,oblique,True,7.63,False,False,False,,True,adp|aux|noun|part|propn,3,strong
2,میں,I; in; into (depending on context),True,postp|pron,True,True,into,True,7.50,False,False,False,,True,adp|adv|noun|pron|propn,3,strong
3,کی,"of; belonging to (genitive, feminine singular)",True,particle,False,False,,True,7.50,False,False,False,,True,adp|aux|noun|propn|verb,3,form_only
4,ہے,is; is/exists (third-person singular present of ہونا),True,particle|verb,True,True,third-person,True,7.43,False,False,False,,True,adp|aux|pron|propn|punct|verb,3,strong
5,اور,and; more; other,True,adv|conj|noun,True,True,more|other,True,7.36,False,False,False,,True,adj|adv|cconj|det|part|pron|propn,3,strong
6,سے,from; with; by; than,True,postp,True,True,than,True,7.26,False,False,False,,True,adj|adp|adv|part|propn,3,strong
7,کا,"of; belonging to (genitive, masculine singular)",True,particle,True,True,belong|genitive,True,7.25,False,False,False,,True,adp|noun|part|propn|sconj,3,strong
8,کو,to; for; marks dative/accusative objects,True,postp,True,True,dative|mark,True,7.19,False,False,False,,True,adj|adp|part|propn,3,strong
9,نے,ergative postposition used with many perfective transitive clauses,True,adv|postp,True,True,ergative|transitive,True,7.01,False,False,False,,True,adp|sconj,3,strong
10,اس,this/that; him/her/it (oblique singular),True,det|pron,True,True,her|him|it|oblique,True,7.09,False,False,False,,True,adp|det|pron,3,strong
11,کہ,that; saying/having said (depending on construction),True,conj|particle|pron,False,False,,True,6.84,False,False,False,,True,adp|noun|part|pron|sconj,3,form_only
12,ہیں,are (plural/honorific present of ہونا),True,intj|verb,True,False,,True,7.07,False,False,False,,True,aux|propn|verb,3,semantic_review
13,پر,on; at; upon; but/yet (depending on use),True,adj|conj|noun|postp,True,True,but|yet,True,7.08,False,False,False,,True,adj|adp|adv|noun,3,strong
14,کر,do; having done; verb stem/conjunctive form of کرنا,True,verb,True,True,do|stem,True,6.87,False,False,False,,True,adp|aux|det|noun|part|pron|propn|verb,3,strong
15,ہو,be; become (form of ہونا),True,verb,True,False,,True,6.70,False,False,False,,True,adj|adp|aux|noun|verb,3,semantic_review
16,بھی,also; too; even,True,adv,True,True,also|too,True,6.93,False,False,False,,True,adp|part,3,strong
17,ایک,one; a; an,True,adj|num,True,False,,True,6.89,False,False,False,,True,adj|adv|noun|num|pron|propn,3,semantic_review
18,یہ,this; these; he/she/it/they (proximal),True,det|pron,True,True,he|it|proximal|she|these|they,True,6.86,False,False,False,,True,adp|det|noun|part|pron,3,strong
19,نہیں,no; not,True,adv|particle,True,True,no|not,True,6.85,False,False,False,,True,part,3,strong
20,ان,"those; them; these (oblique plural, depending on context)",True,det|prefix|pron|suffix,True,True,oblique|them|these|those,True,6.67,False,False,False,,True,det|noun|pron|propn,3,strong
21,کیا,what?; did/done (depending on context),True,particle|pron|verb,True,True,what,True,6.73,False,False,False,,True,aux|det|part|pron|propn|verb,3,strong
22,تو,then; so; you (informal),True,conj|pron,True,True,so|then|you,True,6.77,False,False,False,,True,cconj|part|pron|propn|sconj,3,strong
23,وہ,that; those; he/she/it/they (distal),True,det|pron,True,True,distal|he|it|she|they|those,True,6.71,False,False,False,,True,adp|det|noun|pron,3,strong
24,لئے,for; taken (context-dependent; often in کے لئے 'for'),True,verb,True,False,,True,6.12,False,False,False,,True,adp|propn|verb,3,semantic_review
25,تھا,was (masculine singular),True,verb,True,False,,True,6.66,False,False,False,,True,aux|verb,3,semantic_review
26,گیا,"Gaya (a city in Bihar, India); masculine singular perfect adjectival of جانا (jānā): went, left",True,noun|verb,True,True,adjectival|bihar|city|gaya|india|left|perfect|went,True,6.50,False,False,False,,True,aux|verb,3,strong
27,جو,who; which; that (relative pronoun),True,noun,True,True,relative,True,6.64,False,False,False,,True,adp|det|noun|pron,3,strong
28,و,and,True,character|conj,True,False,,True,6.51,False,False,False,,True,adv|cconj|noun|part|propn,3,semantic_review
29,گا,will (masculine singular future marker),False,,False,False,,True,6.35,False,False,False,,True,aux|verb,2,form_only
30,ہی,only; just; emphatic particle,True,particle,True,True,emphatic,True,6.56,False,False,False,,True,adp|part,3,strong
31,نہ,not; neither; do not,True,adv|conj|particle,True,True,do|neither|not,True,6.50,False,False,False,,True,intj|part,3,strong
