rank,front,expected_english,kaikki_entry,kaikki_pos,kaikki_has_english_gloss,semantic_overlap,semantic_overlap_terms,wordfreq_attested,wordfreq_zipf,arabic_wordnet_entry,camel_analysis,lexique4_entry,lexique4_pos,urdu_ud_entry,urdu_ud_pos,support_count,confidence
1,être,to be,True,noun|verb,True,False,,True,6.38,False,False,False,,False,,2,semantic_review
2,avoir,to have,True,noun|verb,True,True,have,True,6.08,False,False,False,,False,,2,strong
3,de,of / from,True,article|noun|prep,True,False,,True,7.68,False,False,False,,False,,2,semantic_review
4,je,I,True,pron,False,False,,True,6.89,False,False,False,,False,,2,form_only
5,pas,not / step,True,adv|noun,True,True,not|step,True,7.00,False,False,False,,False,,2,strong
6,le,the; him; it (masculine direct-object pronoun),True,article|pron,True,True,him|it,True,7.35,False,False,False,,False,,2,strong
7,que,that / what / than,True,conj|pron,True,True,than|what,True,7.07,False,False,False,,False,,2,strong
8,vous,you (plural / formal),True,pron,True,True,you,True,6.56,False,False,False,,False,,2,strong
9,tu,you; thou,True,particle|pron|verb,True,True,you,True,6.50,False,False,False,,False,,2,strong
10,et,and,True,conj,False,False,,True,7.31,False,False,False,,False,,2,form_only
11,il,he / it,True,pron,True,True,he|it,True,6.98,False,False,False,,False,,2,strong
12,un,a / an / one,True,article|noun|num|pron,True,False,,True,7.11,False,False,False,,False,,2,semantic_review
13,aller,go; fare; ride; travel,True,noun|verb,True,True,go,True,5.61,False,False,False,,False,,2,strong
14,faire,to do / to make,True,verb,True,True,do|make,True,6.34,False,False,False,,False,,2,strong
15,en,in / of it / some,True,prep|pron,True,True,it,True,7.17,False,False,False,,False,,2,strong
16,ça,that; it; this (informal demonstrative pronoun),True,noun|pron,True,True,demonstrative|it,True,6.53,False,False,False,,False,,2,strong
17,on,one / we / they / people,True,pron,True,True,people|we,True,6.71,False,False,False,,False,,2,strong
18,une,a; an; one (feminine),True,article|noun|num,True,False,,True,7.00,False,False,False,,False,,2,semantic_review
19,ce,this / that / it,True,det|pron,True,True,it,True,6.78,False,False,False,,False,,2,strong
20,pour,for / in order to,True,prep,True,False,,True,6.98,False,False,False,,False,,2,semantic_review
21,pouvoir,to be able to / can / power,True,noun|verb,True,True,able|can|power,True,5.50,False,False,False,,False,,2,strong
22,dire,to say / to tell,True,noun|verb,True,True,say|tell,True,5.96,False,False,False,,False,,2,strong
23,vouloir,to want,True,noun|verb,True,True,want,True,4.88,False,False,False,,False,,2,strong
24,qui,who / which / that,True,conj|intj|pron,True,False,,True,6.89,False,False,False,,False,,2,semantic_review
25,mais,but,True,conj|intj|noun,True,True,but,True,6.62,False,False,False,,False,,2,strong
26,savoir,to know / knowledge,True,noun|verb,True,True,know|knowledge,True,5.51,False,False,False,,False,,2,strong
27,nous,we / us,True,noun|pron,True,True,us|we,True,6.43,False,False,False,,False,,2,strong
28,dans,in / into,True,noun|prep,True,False,,True,6.91,False,False,False,,False,,2,semantic_review
