rank,target,english,part_of_speech
1,کے,"of; belonging to (genitive, masculine plural/oblique)",particle
2,میں,I; in; into (depending on context),postposition / pronoun
3,کی,"of; belonging to (genitive, feminine singular)",particle
4,ہے,is; is/exists (third-person singular present of ہونا),particle / verb
5,اور,and; more; other,adv / conj / noun
6,سے,from; with; by; than,postposition
7,کا,"of; belonging to (genitive, masculine singular)",particle
8,کو,to; for; marks dative/accusative objects,postposition
9,نے,ergative marker,postposition
10,اس,this/that; him/her/it (oblique singular),determiner / pronoun
11,کہ,that; saying/having said (depending on construction),conj / particle / pronoun
12,ہیں,are (plural/honorific present of ہونا),interjection / verb
13,پر,on; at; upon; but/yet (depending on use),adj / conj / noun / postposition
14,کر,do; having done; verb stem/conjunctive form of کرنا,verb
15,ہو,be; become (form of ہونا),verb
16,بھی,also; too; even,adv
17,ایک,one; a; an,adj / numeral
18,یہ,this; these; he/she/it/they (proximal),determiner / pronoun
19,نہیں,no; not,adv / particle
20,ان,"those; them; these (oblique plural, depending on context)",determiner / prefix / pronoun / suffix
21,کیا,what?; did/done (depending on context),particle / pronoun / verb
22,تو,then; so; you (informal),conj / pronoun
23,وہ,that; those; he/she/it/they (distal),determiner / pronoun
24,لئے,for; taken (context-dependent; often in کے لئے 'for'),verb
25,تھا,was (masculine singular),verb
26,گیا,"Gaya (a city in Bihar, India); masculine singular perfect adjectival of جانا (jānā): went, left",noun / verb
27,جو,who; which; that (relative pronoun),noun
28,و,and,character / conj
29,گا,will (masculine singular future marker),closed-class
30,ہی,only; just; emphatic particle,particle
31,نہ,not; neither; do not,adv / conj / particle
32,جب,when,adv
33,اپنے,one's own; own (masculine plural/oblique form of اپنا),closed-class
34,آپ,you (formal/honorific); oneself,pronoun
35,جس,who/which/that (oblique singular relative pronoun),closed-class
36,دیا,gave; given (masculine singular form of دینا); lamp,noun
37,تھے,were (masculine plural/honorific),verb
38,ہوئے,became; happened; were (plural/honorific form),verb
39,تک,until; up to; as far as,closed-class
40,بعد,after; afterwards,noun / postposition / prep
41,ساتھ,with; together; alongside,adv / noun
42,لیکن,but; however,conj
43,گی,will (feminine future marker),suffix
44,کوئی,someone; anyone; some; any,adj / pronoun
45,گے,will (masculine plural/honorific future marker),noun
46,اپنی,one's own; own (feminine form of اپنا),closed-class
47,وقت,"time; turn; era, duration",noun
48,بہت,"many, much; enough, sufficient",adj
49,کسی,"oblique of کوئی (koī): anyone, someone; oblique of کوئی (koī): some, a certain, a given",adj / pronoun
50,تھی,was (feminine singular),verb
51,یا,or; O!/oh! (vocative in some contexts),conj / interjection
52,ہم,we; us,pronoun
53,ہوں,first-person singular present indicative/subjunctive of ہونا (honā),verb
54,زیادہ,"more, very many, excessive; more, much, a lot, excessively",adj / adv
55,ملک,"realm; country, land",noun
56,بات,"saying; thing, point; matter, affair",noun
57,طرح,"condition; type, kind; method, manner, mode",noun
58,اگر,if; agarwood,conj / noun
59,اب,now; at present,adverb
60,حکومت,"government; power, reign, rule; jurisdiction; authority",noun
61,دو,two,numeral
62,ہوا,air; whiff; wind; breeze,noun / verb
63,دی,gave (feminine singular form of دینا),content word
64,ہوتا,is/becomes/happens habitually; would be (masculine singular),verb
65,کام,work; task; job; use,noun
66,حاصل,"conclusion, result; obtained, acquired; achieved",adj
67,سب,all; every,adj / determiner / pronoun
68,کرنا,to do; to make; to cause,verb
69,ہر,each; every,determiner
70,سی,like; as; -like (feminine comparative/resemblance form),closed-class
71,طور,"hill, mount; manner, way; state, condition",noun
72,خان,khan,name / noun
73,پہلے,before; earlier; first; previously,adj
74,کچھ,some,adj / adv / pronoun
75,صرف,"busy; morphology; only, just",adj / adv / noun
76,انہیں,them; to them,pronoun
77,سال,hall; year; house,noun
78,وجہ,reason; cause,noun
79,کم,few; little (not much); less (in lower degree; to smaller extent),adj / adv / determiner
80,جنگ,war; fight; battle,noun
81,اسے,him; her; it; to him/her/it,pronoun
82,لیے,for; for the sake of,verb
83,صدر,"president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)",name / noun
84,تمام,all; every,adj
85,اسی,eighty,numeral
86,خلاف,"against, opposed",adj
87,احمد,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",name
