rank,target,english,part_of_speech
1,être,to be,verb / auxiliary verb
2,avoir,to have; to possess; to have to; to be [age],auxiliary verb / verb
3,de,of; from,preposition
4,je,I,pronoun
5,pas,not; step,adverb / noun
6,le,the; him; it (masculine direct-object pronoun),definite article / determiner / pronoun
7,que,that; what; than,conjunction / pronoun
8,vous,you (plural or formal singular),pronoun
9,tu,you (informal singular),pronoun
10,et,and,conjunction
11,il,he; it,pronoun
12,un,a; an; one,article / determiner / noun / pronoun
13,aller,to go; to suit; to be (feeling),noun / verb
14,faire,"to do; to make; to become, to get",verb
15,en,in; of it; some; from there (pronoun/adverb uses),preposition / pronoun
16,ça,that; it; this (informal demonstrative pronoun),pronoun
17,on,one; we; people; they (indefinite subject pronoun),pronoun
18,une,a; an; one (feminine),article / determiner / noun
19,ce,this; that; it,adjective / pronoun
20,pour,for; to; in order to,preposition
21,pouvoir,can; to be able to; power; authority,noun / verb
22,dire,to say; to tell; statement/saying (noun),noun / verb
23,vouloir,want; wish; be willing to,noun / verb
24,qui,who; which; that,pronoun
25,mais,but; however,conjunction
26,savoir,know; know how,noun / verb
27,nous,we; us,noun / pronoun
28,dans,in; into,preposition
29,elle,she; it (feminine),noun / pronoun
30,bien,well; good; quite; indeed,adjective / adverb / noun
31,me,me; myself,object / reflexive pronoun
32,si,if; whether; so; yes (replying to a negative question),adverb / conjunction / noun
33,du,of the; from the; some (partitive),article / determiner
34,non,no; not,adverb / noun
35,avec,with,adverb / preposition
36,devoir,must; have to; owe; duty,noun / verb
37,plus,more; most; no more (with negation),adverb / noun
38,mon,my (masculine singular; also before vowel-initial feminine nouns),adjective
39,voir,see,verb
40,te,you; yourself (object/reflexive pronoun),pronoun
41,moi,me; myself,noun / pronoun
42,oui,yes,adverb
43,tout,all; everything; however; no matter how,adjective / adverb / noun / pronoun
44,sur,on; upon; about,adjective / preposition
45,ils,they (masculine or mixed group),pronoun
46,se,oneself; himself; herself; themselves; each other (reflexive/reciprocal use),reflexive / reciprocal pronoun
47,venir,come,verb
48,ici,here,adverb / noun
49,toi,"you; yourself (informal singular, stressed/disjunctive form)",pronoun
50,comme,like; as; such as; how,conjunction / comparative marker / adverbial expression
51,bon,good; correct; fine/okay; voucher/coupon (noun),adjective / noun / interjection
52,lui,him; her; to him; to her,pronoun
53,votre,your,adjective
54,chose,thing; matter; something; affair,noun
55,penser,to think; to consider; to think about,verb
56,parler,to talk; to speak; speech; way of speaking; dialect,verb / noun
57,là,there,adverb
58,cette,this; that (feminine singular),adjective
59,rien,nothing; anything,noun / pronoun
60,prendre,to gain; to make; to take,verb
61,quand,when,adverb / conjunction
62,son,his / her / its (masculine singular possessive); sound; bran,determiner / noun
63,alors,"so, well, well then; then (at that time); so, hence (as a consequence)",adverb
64,ton,tone; your,adjective / noun
65,croire,"to believe (someone); to believe, to have faith; to believe, to accept as true",verb
66,par,by; through; per,noun / preposition
67,aimer,"to like (often with bien); to love (usually of a person, otherwise the meaning is closer to English like)",verb
68,ou,or,conjunction
69,juste,just; only; exactly; correct; fair; just,adverb / adjective / noun
70,passer,to pass; to go/come by; to spend (time); to take (an exam); to hand/pass; to put on,verb
71,des,of the; from the; some (plural article),article / determiner
