Front,Back
کے,"Rank: 1

Meaning: of; belonging to (genitive, masculine plural/oblique)

Part of speech: particle

Frequency evidence: 743949

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
میں,"Rank: 2

Meaning: I; in; into (depending on context)

Part of speech: postp|pron

Frequency evidence: 582882

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
کی,"Rank: 3

Meaning: of; belonging to (genitive, feminine singular)

Part of speech: particle

Frequency evidence: 575545

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
ہے,"Rank: 4

Meaning: is; is/exists (third-person singular present of ہونا)

Part of speech: particle|verb

Frequency evidence: 466908

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
اور,"Rank: 5

Meaning: and; more; other

Part of speech: adv|conj|noun

Frequency evidence: 413788

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
سے,"Rank: 6

Meaning: from; with; by; than

Part of speech: postp

Frequency evidence: 368155

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
کا,"Rank: 7

Meaning: of; belonging to (genitive, masculine singular)

Part of speech: particle

Frequency evidence: 306103

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
کو,"Rank: 8

Meaning: to; for; marks dative/accusative objects

Part of speech: postp

Frequency evidence: 281922

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
نے,"Rank: 9

Meaning: ergative postposition used with many perfective transitive clauses

Part of speech: adv|postp

Frequency evidence: 254385

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
اس,"Rank: 10

Meaning: this/that; him/her/it (oblique singular)

Part of speech: det|pron

Frequency evidence: 244017

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
کہ,"Rank: 11

Meaning: that; saying/having said (depending on construction)

Part of speech: conj|particle|pron

Frequency evidence: 237419

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
ہیں,"Rank: 12

Meaning: are (plural/honorific present of ہونا)

Part of speech: intj|verb

Frequency evidence: 217948

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
پر,"Rank: 13

Meaning: on; at; upon; but/yet (depending on use)

Part of speech: adj|conj|noun|postp

Frequency evidence: 207921

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
کر,"Rank: 14

Meaning: do; having done; verb stem/conjunctive form of کرنا

Part of speech: verb

Frequency evidence: 173407

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
ہو,"Rank: 15

Meaning: be; become (form of ہونا)

Part of speech: verb

Frequency evidence: 145669

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
بھی,"Rank: 16

Meaning: also; too; even

Part of speech: adv

Frequency evidence: 140157

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
ایک,"Rank: 17

Meaning: one; a; an

Part of speech: adj|num

Frequency evidence: 129851

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
یہ,"Rank: 18

Meaning: this; these; he/she/it/they (proximal)

Part of speech: det|pron

Frequency evidence: 128103

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
نہیں,"Rank: 19

Meaning: no; not

Part of speech: adv|particle

Frequency evidence: 115341

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
ان,"Rank: 20

Meaning: those; them; these (oblique plural, depending on context)

Part of speech: det|prefix|pron|suffix

Frequency evidence: 110463

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
کیا,"Rank: 21

Meaning: what?; did/done (depending on context)

Part of speech: particle|pron|verb

Frequency evidence: 108414

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
تو,"Rank: 22

Meaning: then; so; you (informal)

Part of speech: conj|pron

Frequency evidence: 88137

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
وہ,"Rank: 23

Meaning: that; those; he/she/it/they (distal)

Part of speech: det|pron

Frequency evidence: 83613

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
لئے,"Rank: 24

Meaning: for; taken (context-dependent; often in کے لئے 'for')

Part of speech: verb

Frequency evidence: 66765

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
تھا,"Rank: 25

Meaning: was (masculine singular)

Part of speech: verb

Frequency evidence: 61762

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
گیا,"Rank: 26

Meaning: Gaya (a city in Bihar, India); masculine singular perfect adjectival of جانا (jānā): went, left

Part of speech: noun|verb

Frequency evidence: 57360

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
جو,"Rank: 27

Meaning: who; which; that (relative pronoun)

Part of speech: noun

Frequency evidence: 57041

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
و,"Rank: 28

Meaning: and

Part of speech: character|conj

Frequency evidence: 56038

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
گا,"Rank: 29

Meaning: will (masculine singular future marker)

Part of speech: closed-class

Frequency evidence: 49586

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
ہی,"Rank: 30

Meaning: only; just; emphatic particle

Part of speech: particle

Frequency evidence: 48594

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
نہ,"Rank: 31

Meaning: not; neither; do not

Part of speech: adv|conj|particle

Frequency evidence: 46989

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
جب,"Rank: 32

Meaning: when

Part of speech: adv

Frequency evidence: 46894

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
اپنے,"Rank: 33

Meaning: one's own; own (masculine plural/oblique form of اپنا)

Part of speech: closed-class

Frequency evidence: 46829

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
آپ,"Rank: 34

Meaning: you (formal/honorific); oneself

Part of speech: pron

Frequency evidence: 46299

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
جس,"Rank: 35

Meaning: who/which/that (oblique singular relative pronoun)

Part of speech: closed-class

Frequency evidence: 45733

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
دیا,"Rank: 36

Meaning: gave; given (masculine singular form of دینا); lamp

Part of speech: noun

Frequency evidence: 45394

Sources:
- CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics
- Refined through multi-dictionary learner-safety selection; candidate only until final audit"
