Front,Back
être,"Rank: 1

Meaning: to be

Part of speech: auxiliary verb / noun / verb

Frequency evidence: 43533.111

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
avoir,"Rank: 2

Meaning: to have

Part of speech: auxiliary verb / noun / verb

Frequency evidence: 32763.514000000006

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
de,"Rank: 3

Meaning: of / from

Part of speech: noun / preposition

Frequency evidence: 26323.443

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
je,"Rank: 4

Meaning: I

Part of speech: pronoun

Frequency evidence: 25930.797

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
pas,"Rank: 5

Meaning: not / step

Part of speech: adverb / noun

Frequency evidence: 18206.634000000002

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
le,"Rank: 6

Meaning: the; him; it (masculine direct-object pronoun)

Part of speech: article/determiner / noun / pronoun

Frequency evidence: 16539.028

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
que,"Rank: 7

Meaning: that / what / than

Part of speech: conjunction / pronoun

Frequency evidence: 14272.813999999998

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
vous,"Rank: 8

Meaning: you (plural / formal)

Part of speech: pronoun

Frequency evidence: 14039.193

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
tu,"Rank: 9

Meaning: you; thou

Part of speech: pronoun

Frequency evidence: 13851.563

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
et,"Rank: 10

Meaning: and

Part of speech: conjunction

Frequency evidence: 12851.275

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
il,"Rank: 11

Meaning: he / it

Part of speech: pronoun

Frequency evidence: 12534.93

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
un,"Rank: 12

Meaning: a / an / one

Part of speech: article/determiner / noun / pronoun

Frequency evidence: 12499.551

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
aller,"Rank: 13

Meaning: go; fare; ride; travel

Part of speech: noun / verb

Frequency evidence: 9819.413999999999

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
faire,"Rank: 14

Meaning: to do / to make

Part of speech: verb

Frequency evidence: 9060.416

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
en,"Rank: 15

Meaning: in / of it / some

Part of speech: preposition / pronoun

Frequency evidence: 8856.880000000001

Sources:
- Lexique 4 recomputed compatible-POS lemma frequency + Kaikki/Wiktextract; legacy EN translation preferred where available
- Externally verified learner deck; multi-source semantic audit passed with zero unresolved rows"
